Fecha,Índice COLCAP
2011-09-01,1642.9
2011-09-02,1642.54
2011-09-05,1610.98
2011-09-06,1634.33
2011-09-07,1646.88
2011-09-08,1645.06
2011-09-09,1631.87
2011-09-12,1629.9
2011-09-13,1634.16
2011-09-14,1640.37
2011-09-15,1659.03
2011-09-16,1684.37
2011-09-19,1680.37
2011-09-20,1676.51
2011-09-21,1656.33
2011-09-22,1607.91
2011-09-23,1593.69
2011-09-26,1584.3
2011-09-27,1593.65
2011-09-28,1586.55
2011-09-29,1602.97
2011-09-30,1584.75
2011-10-03,1550.95
2011-10-04,1567.69
2011-10-05,1578.7
2011-10-06,1589.68
2011-10-07,1583.86
2011-10-10,1602.25
2011-10-11,1596.7
2011-10-12,1610.92
2011-10-13,1612.34
2011-10-14,1618.42
2011-10-18,1627.69
2011-10-19,1615.59
2011-10-20,1619.15
2011-10-21,1627.27
2011-10-24,1634.43
2011-10-25,1620.98
2011-10-26,1623.33
2011-10-27,1639.95
2011-10-28,1636.5
2011-10-31,1622.23
2011-11-01,1597.17
2011-11-02,1595.2
2011-11-03,1609.71
2011-11-04,1600.14
2011-11-08,1606.91
2011-11-09,1581.37
2011-11-10,1573.5
2011-11-11,1582.14
2011-11-15,1579.39
2011-11-16,1571.96
2011-11-17,1570.15
2011-11-18,1562.55
2011-11-21,1545.32
2011-11-22,1544.24
2011-11-23,1496.65
2011-11-24,1492.3
2011-11-25,1482.59
2011-11-28,1512.95
2011-11-29,1525.05
2011-11-30,1561.07
2011-12-01,1575.56
2011-12-02,1586.85
2011-12-05,1574.81
2011-12-06,1544.21
2011-12-07,1576.49
2011-12-09,1577.86
2011-12-12,1572.06
2011-12-13,1568.09
2011-12-14,1546.37
2011-12-15,1541.9
2011-12-16,1571.89
2011-12-19,1561.06
2011-12-20,1579.47
2011-12-21,1586.41
2011-12-22,1599.74
2011-12-23,1600.4
2011-12-26,1592.11
2011-12-27,1584.91
2011-12-28,1589.38
2011-12-29,1571.55
2012-01-02,1577.71
2012-01-03,1601.87
2012-01-04,1606.48
2012-01-05,1606.09
2012-01-06,1599.69
2012-01-10,1618.88
2012-01-11,1609.94
2012-01-12,1585.81
2012-01-13,1592.82
2012-01-16,1578.22
2012-01-17,1597.95
2012-01-18,1613.67
2012-01-19,1606.49
2012-01-20,1607.26
2012-01-23,1609.92
2012-01-24,1605.29
2012-01-25,1602.73
2012-01-26,1601.27
2012-01-27,1595.77
2012-01-30,1614.01
2012-01-31,1633.62
2012-02-01,1634
2012-02-02,1642.73
2012-02-03,1643.43
2012-02-06,1642.15
2012-02-07,1649.71
2012-02-08,1655.43
2012-02-09,1658.67
2012-02-10,1657.28
2012-02-13,1669.47
2012-02-14,1674.22
2012-02-15,1677.16
2012-02-16,1705.02
2012-02-17,1710.76
2012-02-20,1714.26
2012-02-21,1700.22
2012-02-22,1703.29
2012-02-23,1720.51
2012-02-24,1718.51
2012-02-27,1706.7
2012-02-28,1698.81
2012-02-29,1730.46
2012-03-01,1740.64
2012-03-02,1739.94
2012-03-05,1735.25
2012-03-06,1707.85
2012-03-07,1712.59
2012-03-08,1724.74
2012-03-09,1724.62
